,priceDate,week,minPrice,maxPrice,modalPrice,edited,month,quarter,contWeekDay
0,2005-04-11,15,1120.0,1760.0,1200.0,0,4,2,1
1,2005-04-12,15,1120.0,1760.0,1200.0,0,4,2,1
2,2005-04-13,15,1200.0,1880.0,1280.0,0,4,2,1
3,2005-04-14,15,,,,0,4,2,1
4,2005-04-15,15,,,,0,4,2,1
5,2005-04-16,15,1200.0,1880.0,1280.0,0,4,2,1
6,2005-04-17,15,1200.0,1880.0,1280.0,YES,4,2,1
7,2005-04-18,16,1120.0,1600.0,1160.0,0,4,2,2
8,2005-04-19,16,1000.0,1520.0,1040.0,0,4,2,2
9,2005-04-20,16,1000.0,1550.0,1040.0,0,4,2,2
10,2005-04-21,16,1000.0,1550.0,1040.0,0,4,2,2
11,2005-04-22,16,1000.0,1550.0,1240.0,0,4,2,2
12,2005-04-23,16,880.0,1450.0,920.0,0,4,2,2
13,2005-04-24,16,880.0,1450.0,920.0,YES,4,2,2
14,2005-04-25,17,800.0,1200.0,840.0,0,4,2,3
15,2005-04-26,17,600.0,1050.0,640.0,0,4,2,3
16,2005-04-27,17,600.0,1125.0,640.0,0,4,2,3
17,2005-04-28,17,600.0,1125.0,640.0,0,4,2,3
18,2005-04-29,17,600.0,1125.0,640.0,0,4,2,3
19,2005-04-30,17,,,,0,4,2,3
20,2005-05-01,17,,,,0,5,2,3
21,2005-05-02,18,600.0,1250.0,640.0,0,5,2,4
22,2005-05-03,18,,,,0,5,2,4
23,2005-05-04,18,375.0,500.0,400.0,0,5,2,4
24,2005-05-05,18,,,,0,5,2,4
25,2005-05-06,18,600.0,1100.0,840.0,0,5,2,4
26,2005-05-07,18,600.0,1100.0,840.0,0,5,2,4
27,2005-05-08,18,600.0,1100.0,840.0,YES,5,2,4
28,2005-05-09,19,480.0,1000.0,520.0,0,5,2,5
29,2005-05-10,19,480.0,1000.0,760.0,0,5,2,5
30,2005-05-11,19,480.0,1000.0,520.0,0,5,2,5
31,2005-05-12,19,480.0,1000.0,520.0,0,5,2,5
32,2005-05-13,19,480.0,1000.0,520.0,0,5,2,5
33,2005-05-14,19,480.0,1050.0,520.0,0,5,2,5
34,2005-05-15,19,480.0,1050.0,520.0,YES,5,2,5
35,2005-05-16,20,480.0,900.0,520.0,0,5,2,6
36,2005-05-17,20,480.0,900.0,520.0,0,5,2,6
37,2005-05-18,20,480.0,900.0,520.0,0,5,2,6
38,2005-05-19,20,480.0,900.0,720.0,0,5,2,6
39,2005-05-20,20,640.0,900.0,720.0,0,5,2,6
40,2005-05-21,20,,,,0,5,2,6
41,2005-05-22,20,,,,0,5,2,6
42,2005-05-23,21,480.0,800.0,520.0,0,5,2,7
43,2005-05-24,21,640.0,950.0,720.0,0,5,2,7
44,2005-05-25,21,,,,0,5,2,7
45,2005-05-26,21,,,,0,5,2,7
46,2005-05-27,21,280.0,850.0,600.0,0,5,2,7
47,2005-05-28,21,280.0,850.0,360.0,0,5,2,7
48,2005-05-29,21,280.0,850.0,360.0,YES,5,2,7
49,2005-05-30,22,280.0,750.0,560.0,YES,5,2,8
50,2005-05-31,22,280.0,750.0,560.0,0,5,2,8
51,2005-06-01,22,280.0,750.0,560.0,0,6,2,8
52,2005-06-02,22,,,,0,6,2,8
53,2005-06-03,22,600.0,750.0,700.0,0,6,2,8
54,2005-06-04,22,400.0,750.0,700.0,0,6,2,8
55,2005-06-05,22,400.0,750.0,700.0,YES,6,2,8
56,2005-06-06,23,,,,0,6,2,9
57,2005-06-07,23,,,,0,6,2,9
58,2005-06-08,23,,,,0,6,2,9
59,2005-06-09,23,,,,0,6,2,9
